corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00106614,기신정기,092440,Y,사업보고서 (2025.03),20250612000335,기신정기,20250612,연
00106641,기아,000270,Y,[기재정정]사업보고서 (2024.12),20250313001390,기아,20250313,연
00129420,까뮤이앤씨,013700,Y,사업보고서 (2024.12),20250321001470,까뮤이앤씨,20250321,연
00113492,깨끗한나라,004540,Y,사업보고서 (2024.12),20250320000849,깨끗한나라,20250320,연
01586455,꿈비,407400,K,사업보고서 (2024.12),20250320000951,꿈비,20250320,연
00994994,나노,187790,K,사업보고서 (2024.12),20250320000703,나노,20250320,연
00439965,나노신소재,121600,K,[첨부정정]사업보고서 (2024.12),20250331002537,나노신소재,20250331,연
01136001,나노실리칸첨단소재,286750,K,사업보고서 (2024.12),20250320000874,나노실리칸첨단소재,20250320,연
00660459,나노씨엠에스,247660,K,사업보고서 (2024.12),20250320001357,나노씨엠에스,20250320,
00230425,나노엔텍,039860,K,사업보고서 (2024.12),20250318000966,나노엔텍,20250318,연
00542074,나노캠텍,091970,K,사업보고서 (2024.12),20250318001427,나노캠텍,20250318,연
01524118,나노팀,417010,K,[첨부정정]사업보고서 (2024.12),20250325000600,나노팀,20250325,연
01021639,나라셀라,405920,K,사업보고서 (2024.12),20250318000972,나라셀라,20250318,연
00297095,나라엠앤디,051490,K,사업보고서 (2024.12),20250320000687,나라엠앤디,20250320,연
00362122,나래나노텍,137080,K,사업보고서 (2024.12),20250318001008,나래나노텍,20250318,연
00819374,나무가,190510,K,사업보고서 (2024.12),20250319000370,나무가,20250319,연
01136348,나무기술,242040,K,사업보고서 (2024.12),20250320000319,나무기술,20250320,연
00651017,나우IB,293580,K,사업보고서 (2024.12),20250321000504,나우IB,20250321,연
00767628,나이벡,138610,K,사업보고서 (2024.12),20250320001307,나이벡,20250320,
00606293,나이스디앤비,130580,K,사업보고서 (2024.12),20250313000602,나이스디앤비,20250313,연
00264945,나이스정보통신,036800,K,사업보고서 (2024.12),20250317000835,나이스정보통신,20250317,연
00158325,NICE평가정보,030190,Y,사업보고서 (2024.12),20250314001653,NICE평가정보,20250314,연
01208849,나인테크,267320,K,사업보고서 (2024.12),20250321000551,나인테크,20250321,연
00107066,남광토건,001260,Y,[기재정정]사업보고서 (2024.12),20250814001709,남광토건,20250814,연
00107224,남선알미늄,008350,Y,사업보고서 (2024.12),20250320001238,남선알미늄,20250320,연
00172185,남성,004270,Y,사업보고서 (2024.12),20250319000945,남성,20250319,연
00107598,남양유업,003920,Y,[기재정정]사업보고서 (2024.12),20250328000090,남양유업,20250328,연
00107987,남해화학,025860,Y,[첨부정정]사업보고서 (2024.12),20250320001558,남해화학,20250320,연
00245694,남화산업,111710,K,사업보고서 (2024.12),20250317000237,남화산업,20250317,
00108001,남화토건,091590,K,사업보고서 (2024.12),20250318001306,남화토건,20250318,연
00923792,내츄럴엔도텍,168330,K,[기재정정]사업보고서 (2024.12),20251125000703,내츄럴엔도텍,20251125,연
00599106,네오리진,094860,K,사업보고서 (2024.12),20250320001066,네오리진,20250320,연
01170865,네오셈,253590,K,사업보고서 (2024.12),20250318000990,네오셈,20250318,연
00876865,네오오토,212560,K,사업보고서 (2024.12),20250320001681,네오오토,20250320,
00628860,네오위즈,095660,K,사업보고서 (2024.12),20250319000997,네오위즈,20250319,연
00266952,네오위즈홀딩스,042420,K,[기재정정]사업보고서 (2024.12),20250813001287,네오위즈홀딩스,20250813,연
01511558,네오이뮨텍,950220,K,사업보고서 (2024.12),20250321001340,네오이뮨텍,20250321,연
01219155,네오크레마,311390,K,사업보고서 (2024.12),20250318001439,네오크레마,20250318,연
00447928,네오티스,085910,K,사업보고서 (2024.12),20250318000900,네오티스,20250318,연
00551920,네오팜,092730,K,사업보고서 (2024.12),20250317000438,네오팜,20250317,연
01246034,네오펙트,290660,K,사업보고서 (2024.12),20250320001036,네오펙트,20250320,연
01325429,네온테크,306620,K,[첨부정정]사업보고서 (2024.12),20250327001198,네온테크,20250327,연
00842585,네이블,153460,K,사업보고서 (2024.12),20250311001128,네이블,20250311,
00117276,네이처셀,007390,K,사업보고서 (2024.12),20250319000970,네이처셀,20250319,연
00227333,네패스,033640,K,사업보고서 (2024.12),20250320001688,네패스,20250320,연
01368354,네패스아크,330860,K,사업보고서 (2024.12),20250320001701,네패스아크,20250320,
00167192,넥센,005720,Y,사업보고서 (2024.12),20250318000857,넥센,20250318,연
00173874,넥센타이어,002350,Y,사업보고서 (2024.12),20250318001449,넥센타이어,20250318,연
00416414,넥스턴앤롤코리아,089140,K,사업보고서 (2024.12),20250321001483,넥스턴앤롤코리아,20250321,연
01385050,넥스트바이오메디컬,389650,K,사업보고서 (2024.12),20250313001288,넥스트바이오메디컬,20250313,
00614593,넥스트아이,137940,K,사업보고서 (2024.12),20250321001149,넥스트아이,20250321,연
00974927,NEW,160550,K,사업보고서 (2024.12),20250319001098,NEW,20250319,연
01515864,넥스트칩,396270,K,사업보고서 (2024.12),20250317000646,넥스트칩,20250317,
01080252,넥스틴,348210,K,[기재정정]사업보고서 (2024.12),20250814003642,넥스틴,20250814,연
00220613,넥스틸,092790,Y,[기재정정]사업보고서 (2024.12),20250331002907,넥스틸,20250331,연
01096341,넥슨게임즈,225570,K,사업보고서 (2024.12),20250320001202,넥슨게임즈,20250320,연
01042429,넥써쓰,205500,K,[기재정정]사업보고서 (2024.12),20250814002887,넥써쓰,20250814,연
01067808,넵튠,217270,K,사업보고서 (2024.12),20250318001442,넵튠,20250318,연
00904672,넷마블,251270,Y,사업보고서 (2024.12),20250321001686,넷마블,20250321,연
00632845,노랑풍선,104620,K,사업보고서 (2024.12),20250319000908,노랑풍선,20250319,연
00583442,노루페인트,090350,Y,사업보고서 (2024.12),20250313001422,노루페인트,20250313,연
00113508,노루홀딩스,000320,Y,[기재정정]사업보고서 (2024.12),20250814002541,노루홀딩스,20250814,연
01703849,노머스,473980,K,[기재정정]사업보고서 (2024.12),20250509000006,노머스,20250509,연
00811372,노바렉스,194700,K,사업보고서 (2024.12),20250320000788,노바렉스,20250320,연
01259232,노바텍,285490,K,사업보고서 (2024.12),20250320001246,노바텍,20250320,연
00305941,노브랜드,145170,K,[기재정정]사업보고서 (2024.12),20250331001613,노브랜드,20250331,연
00536329,노블엠앤비,106520,K,[기재정정]사업보고서 (2024.12),20250414001335,노블엠앤비,20250414,연
00536329,노블엠앤비,106520,K,사업보고서제출기한연장신고서 (2024.12),20250321000802,노블엠앤비,20250321,
01494118,노을,376930,K,사업보고서 (2024.12),20250318001048,노을,20250318,연
00129679,녹십자,006280,Y,사업보고서 (2024.12),20250318001288,녹십자,20250318,연
00513948,녹십자엠에스,142280,K,[기재정정]사업보고서 (2024.12),20250319001141,녹십자엠에스,20250319,연
01135057,녹십자웰빙,234690,K,사업보고서 (2024.12),20250317001013,녹십자웰빙,20250317,연
00108135,녹십자홀딩스,005250,Y,사업보고서 (2024.12),20250318001422,녹십자홀딩스,20250318,연
00108241,농심,004370,Y,사업보고서 (2024.12),20250312000711,농심,20250312,연
00459871,농심홀딩스,072710,Y,[기재정정]사업보고서 (2024.12),20250814002854,농심홀딩스,20250814,연
00176835,농우바이오,054050,K,사업보고서 (2024.12),20250319001031,농우바이오,20250319,연
01299106,우듬지팜,403490,K,사업보고서 (2024.12),20250321001965,우듬지팜,20250321,연
00410997,누리플랜,069140,K,사업보고서 (2024.12),20250320001029,누리플랜,20250320,연
00269889,누리플렉스,040160,K,[기재정정]사업보고서 (2024.12),20250327000145,누리플렉스,20250327,연
01394669,누보,332290,K,사업보고서 (2024.12),20250320001064,누보,20250320,연
01336461,뉴로메카,348340,K,[기재정정]사업보고서 (2024.12),20250814003429,뉴로메카,20250814,연
